Bird species,Feeder 1,Feeder 2,Feeder 3,Feeder 4,Feeder 5,Feeder 6,Visits 
Blue jay,0,0,0,3,0,7,10
American Goldfinch,0,0,0,0,0,0,0
Red-winged Blackbird,0,0,0,22,0,20,42
Mourning Dove,0,0,0,0,0,1,1
Black-capped chickadee,0,0,0,0,0,0,0
Tufted Titmouse,0,1,1,3,0,1,6
White-breasted Nuthatch,0,0,0,1,0,0,1
Northern cardinal,0,0,0,0,0,0,0
Downy Woodpecker,1,0,1,1,0,0,3
Hairy Woodpecker,1,0,0,0,0,0,1
House finch,0,0,0,0,0,0,0
Common Grackle,0,0,0,0,0,0,0
Red-bellied Woodpecker,2,1,1,0,0,0,4
European Starling,0,0,0,0,0,3,3
American Robin,0,0,0,1,0,0,1